형태소,품사,분류,카운트
!,Punctuation,1,7
!,Punctuation,2,5
!,Punctuation,3,2
!,Punctuation,5,2
!,Punctuation,6,23
!,Punctuation,7,11
!,Punctuation,8,66
!,Punctuation,9,47
!,Punctuation,10,462
!!,Foreign,10,1
!!,Punctuation,1,2
!!,Punctuation,5,1
!!,Punctuation,6,5
!!,Punctuation,7,4
!!,Punctuation,8,29
!!,Punctuation,9,20
!!,Punctuation,10,252
!!!,Punctuation,4,2
!!!,Punctuation,6,1
!!!,Punctuation,7,2
!!!,Punctuation,8,3
!!!,Punctuation,9,6
!!!,Punctuation,10,118
!!!!,Punctuation,8,2
!!!!,Punctuation,9,1
!!!!,Punctuation,10,48
!!!!...,Punctuation,10,1
!!!!~,Punctuation,10,1
!!!),Punctuation,10,1
!!!.,Punctuation,10,1
!!!^^,Punctuation,8,1
!!!^^,Punctuation,10,3
"!!""",Punctuation,10,1
!!',Punctuation,6,1
!!.,Punctuation,10,2
!!><,Punctuation,8,1
!!@,Punctuation,10,1
!!^.^,Punctuation,10,1
!!^^,Punctuation,10,2
!.,Punctuation,8,1
!..,Punctuation,5,1
!..,Punctuation,10,1
!...,Punctuation,9,1
!...,Punctuation,10,2
!???,Punctuation,8,1
!@#$%^&*(),Punctuation,10,1
!^-^,Punctuation,10,1
!^...,Punctuation,10,1
!^^,Punctuation,10,2
!^^*,Punctuation,10,1
!~,Punctuation,10,2
!~~,Punctuation,9,1
!~~~,Punctuation,9,1
"""",Punctuation,1,2
"""",Punctuation,2,2
"""",Punctuation,4,5
"""",Punctuation,5,1
"""",Punctuation,6,2
"""",Punctuation,8,6
"""",Punctuation,9,3
"""",Punctuation,10,20
%~~~!!!,Punctuation,10,1
&,Punctuation,1,2
&,Punctuation,2,1
&,Punctuation,3,1
&,Punctuation,4,1
&,Punctuation,6,1
&,Punctuation,7,1
&,Punctuation,8,1
&,Punctuation,9,1
&#...,Punctuation,8,1
&...,Punctuation,6,1
',Punctuation,1,4
',Punctuation,2,2
',Punctuation,3,2
',Punctuation,4,9
',Punctuation,6,9
',Punctuation,7,17
',Punctuation,8,14
',Punctuation,9,13
',Punctuation,10,28
'!!!!,Punctuation,10,1
"'""",Punctuation,5,1
"',",Punctuation,10,1
'...,Punctuation,6,1
(,Punctuation,1,4
(,Punctuation,2,3
(,Punctuation,3,1
(,Punctuation,4,1
(,Punctuation,5,3
(,Punctuation,6,7
(,Punctuation,7,5
(,Punctuation,8,5
(,Punctuation,9,3
(,Punctuation,10,25
('((,Punctuation,8,1
(?,Punctuation,10,1
(?),Punctuation,2,1
(?),Punctuation,4,1
(?),Punctuation,6,1
(?),Punctuation,7,1
(?),Punctuation,8,1
(?),Punctuation,9,2
(?),Punctuation,10,1
(???????????,Punctuation,10,1
),Punctuation,1,3
),Punctuation,2,2
),Punctuation,3,1
),Punctuation,4,2
),Punctuation,5,3
),Punctuation,6,5
),Punctuation,7,4
),Punctuation,8,6
),Punctuation,9,4
),Punctuation,10,23
"),",Punctuation,6,1
)...,Punctuation,10,1
)^~^,Punctuation,8,1
)~,Punctuation,1,1
*.*,Punctuation,10,1
*^^*,Punctuation,8,1
*^^*,Punctuation,10,1
+,Punctuation,1,3
+,Punctuation,2,2
+,Punctuation,4,1
+,Punctuation,6,2
+,Punctuation,8,3
+,Punctuation,9,2
+,Punctuation,10,11
+_+,Punctuation,10,2
",",Punctuation,1,41
",",Punctuation,2,22
