형태소,품사,분류,카운트
!,Punctuation,1.0,11
!,Punctuation,2.0,1
!,Punctuation,3.0,2
!,Punctuation,4.0,2
!,Punctuation,5.0,8
!,Punctuation,6.0,12
!,Punctuation,7.0,14
!,Punctuation,8.0,52
!,Punctuation,9.0,41
!,Punctuation,10.0,274
!!,Punctuation,1.0,10
!!,Punctuation,2.0,2
!!,Punctuation,3.0,1
!!,Punctuation,4.0,3
!!,Punctuation,5.0,6
!!,Punctuation,6.0,4
!!,Punctuation,7.0,9
!!,Punctuation,8.0,13
!!,Punctuation,9.0,19
!!,Punctuation,10.0,179
!!!,Punctuation,1.0,2
!!!,Punctuation,3.0,1
!!!,Punctuation,5.0,2
!!!,Punctuation,6.0,1
!!!,Punctuation,7.0,1
!!!,Punctuation,8.0,4
!!!,Punctuation,9.0,5
!!!,Punctuation,10.0,80
!!!!,Punctuation,1.0,2
!!!!,Punctuation,5.0,1
!!!!,Punctuation,6.0,1
!!!!,Punctuation,8.0,4
!!!!,Punctuation,10.0,17
!!!!!,Punctuation,8.0,1
!!!!!,Punctuation,9.0,1
!!!!!,Punctuation,10.0,6
!!!!!!,Punctuation,10.0,5
!!!!!!!,Punctuation,9.0,1
!!!!!!!,Punctuation,10.0,4
!!!!!!!!,Punctuation,9.0,2
!!!!!!!!,Punctuation,10.0,2
!!!!!!!!!,Punctuation,10.0,4
!!!!!!!!!!,Punctuation,10.0,4
!!!!!!!!!!!!,Punctuation,10.0,1
!!!!!!!!!!!!!!,Punctuation,1.0,1
!!!!!!!!!!!!!!!,Punctuation,9.0,1
!!!!!!!!!!!!!!!,Punctuation,10.0,2
!!!!!!!!!!!!!!!!,Punctuation,10.0,2
!!!!!!!!!!!!!!!!!,Punctuation,10.0,1
!!!!!!!!!!!!!!!!!!!!,Punctuation,10.0,1
!!!!!!!!!!!!!!!!!!!!!,Punctuation,10.0,1
!!!!!!!!!!!!!!!!!!!!!!,Punctuation,10.0,1
!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,10.0,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,10.0,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,10.0,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,10.0,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,10.0,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,10.0,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,10.0,1
!!!!!!!!!!!!!!~~~~~~~~~~~,Punctuation,9.0,1
!!!!!^^,Punctuation,10.0,1
!!!+_+,Punctuation,10.0,1
!!!>_<,Punctuation,10.0,1
!!!^,Punctuation,10.0,1
!!!^^,Punctuation,10.0,1
!!!~~~,Punctuation,10.0,1
!!(,Punctuation,10.0,1
!!),Punctuation,9.0,1
!!),Punctuation,10.0,1
!!.,Punctuation,10.0,1
!!><,Punctuation,10.0,1
!!@,Punctuation,10.0,1
!!^^,Punctuation,10.0,1
!!~,Punctuation,9.0,1
!!~^^,Punctuation,10.0,1
!!~~,Punctuation,10.0,1
!',Punctuation,8.0,1
!',Punctuation,10.0,1
!(,Punctuation,10.0,1
"!,",Punctuation,8.0,1
!.!,Punctuation,10.0,1
!</,Punctuation,10.0,1
!>,Punctuation,9.0,1
!>,Punctuation,10.0,1
!?!?,Punctuation,8.0,1
!^,Punctuation,7.0,1
!^^,Punctuation,6.0,1
!^^,Punctuation,8.0,2
!^^,Punctuation,10.0,3
!^_^,Punctuation,8.0,1
!^_^,Punctuation,9.0,1
!^_^,Punctuation,10.0,1
!~,Punctuation,9.0,1
!~,Punctuation,10.0,2
!~!!,Punctuation,10.0,1
!~~,Punctuation,10.0,3
!~~~,Punctuation,8.0,1
!~~~,Punctuation,9.0,1
"""",Punctuation,1.0,6
"""",Punctuation,5.0,8
"""",Punctuation,6.0,4
"""",Punctuation,7.0,3
"""",Punctuation,8.0,2
"""",Punctuation,9.0,2
"""",Punctuation,10.0,8
""",",Punctuation,1.0,1
$$,Punctuation,10.0,1
%,Punctuation,9.0,1
&,Punctuation,2.0,2
&,Punctuation,4.0,1
&,Punctuation,7.0,1
&,Punctuation,9.0,1
&,Punctuation,10.0,4
',Punctuation,1.0,6
',Punctuation,2.0,10
',Punctuation,4.0,2
',Punctuation,5.0,4
',Punctuation,6.0,4
',Punctuation,7.0,2
',Punctuation,8.0,11
',Punctuation,9.0,4
',Punctuation,10.0,17
'',Punctuation,1.0,1
'-^,Punctuation,1.0,1
'.,Punctuation,8.0,1
'.,Punctuation,10.0,1
(,Punctuation,1.0,1
(,Punctuation,4.0,3
(,Punctuation,6.0,3
(,Punctuation,9.0,3
(,Punctuation,10.0,12
(!),Punctuation,5.0,1
(?),Punctuation,6.0,1
(?),Punctuation,7.0,1
(?),Punctuation,8.0,1
(?),Punctuation,9.0,2
(?),Punctuation,10.0,6
),Punctuation,1.0,1
),Punctuation,4.0,3
),Punctuation,6.0,5
),Punctuation,9.0,1
),Punctuation,10.0,16
)(,Punctuation,10.0,1
)...,Punctuation,9.0,1
*,Punctuation,8.0,1
*^^*,Punctuation,10.0,1
+,Punctuation,3.0,1
+,Punctuation,6.0,3
+,Punctuation,7.0,2
+,Punctuation,8.0,1
+,Punctuation,9.0,2
+,Punctuation,10.0,10
++,Punctuation,10.0,1
+_+,Punctuation,9.0,1
+_+,Punctuation,10.0,2
",",Punctuation,1.0,33
",",Punctuation,2.0,11
",",Punctuation,3.0,8
",",Punctuation,4.0,23
",",Punctuation,5.0,31
",",Punctuation,6.0,38
",",Punctuation,7.0,60
",",Punctuation,8.0,77
",",Punctuation,9.0,38
",",Punctuation,10.0,136
",,",Punctuation,1.0,9
",,",Punctuation,4.0,1
",,",Punctuation,5.0,1
",,",Punctuation,6.0,3
",,",Punctuation,7.0,1
",,",Punctuation,8.0,3
",,",Punctuation,9.0,2
",,",Punctuation,10.0,17
",,!!<",Punctuation,10.0,1
",,(",Punctuation,10.0,1
",,,",Punctuation,1.0,3
",,,",Punctuation,3.0,1
",,,",Punctuation,4.0,1
",,,",Punctuation,5.0,2
",,,",Punctuation,6.0,1
",,,",Punctuation,7.0,4
",,,",Punctuation,8.0,1
",,,",Punctuation,9.0,2
",,,",Punctuation,10.0,3
",,,,",Punctuation,1.0,1
",,,,",Punctuation,5.0,1
",,,,",Punctuation,10.0,1
",,,,,",Punctuation,7.0,1
",,;",Punctuation,6.0,1
",.",Punctuation,1.0,1
",.",Punctuation,3.0,2
",.",Punctuation,4.0,1
",.",Punctuation,6.0,1
",.",Punctuation,8.0,1
",.",Punctuation,9.0,1
",.",Punctuation,10.0,2
",..",Punctuation,5.0,1
",..",Punctuation,6.0,1
",..",Punctuation,9.0,1
",...",Punctuation,8.0,1
-,Punctuation,1.0,16
-,Punctuation,2.0,1
-,Punctuation,5.0,1
-,Punctuation,6.0,1
-,Punctuation,7.0,5
-,Punctuation,8.0,5
-,Punctuation,9.0,6
-,Punctuation,10.0,14
"-,-;;;;;",Punctuation,5.0,1
--,Punctuation,1.0,4
--,Punctuation,2.0,1
--,Punctuation,5.0,2
--,Punctuation,6.0,1
--,Punctuation,7.0,1
--,Punctuation,8.0,1
--,Punctuation,10.0,1
--.,Punctuation,1.0,1
--;,Punctuation,10.0,1
--;;,Punctuation,1.0,1
-.-,Punctuation,1.0,1
-.-;,Punctuation,7.0,1
-;,Punctuation,7.0,1
-;;,Punctuation,1.0,1
-;;,Punctuation,3.0,1
-;;,Punctuation,7.0,1
-;;;,Punctuation,1.0,2
-?,Punctuation,10.0,1
-_,Punctuation,1.0,1
-_,Punctuation,7.0,1
-_-,Punctuation,1.0,4
-_-,Punctuation,2.0,2
-_-,Punctuation,6.0,2
-_-,Punctuation,7.0,1
-_-,Punctuation,8.0,2
-_-'',Punctuation,3.0,1
-_-...,Punctuation,10.0,1
-_-;,Punctuation,10.0,1
-_-;;,Punctuation,8.0,1
-_-;;,Punctuation,9.0,1
-_-;;,Punctuation,10.0,1
-_-;;;;,Punctuation,8.0,1
-_-;;;;;,Punctuation,1.0,1
-_-^,Punctuation,1.0,1
-__-,Punctuation,5.0,1
.,Foreign,10.0,1
.,Punctuation,1.0,190
.,Punctuation,2.0,46
.,Punctuation,3.0,65
.,Punctuation,4.0,74
.,Punctuation,5.0,104
.,Punctuation,6.0,177
.,Punctuation,7.0,180
.,Punctuation,8.0,187
.,Punctuation,9.0,121
.,Punctuation,10.0,555
.!,Punctuation,10.0,3
.!!,Punctuation,10.0,1
.!!!!!!,Punctuation,10.0,1
".""",Punctuation,1.0,1
.(,Punctuation,6.0,1
.(,Punctuation,10.0,2
".,",Punctuation,6.0,1
".,....",Punctuation,10.0,1
.--,Punctuation,6.0,1
.-_-,Punctuation,1.0,1
..,Punctuation,1.0,155
..,Punctuation,2.0,32
..,Punctuation,3.0,23
..,Punctuation,4.0,63
..,Punctuation,5.0,75
..,Punctuation,6.0,114
..,Punctuation,7.0,155
..,Punctuation,8.0,100
..,Punctuation,9.0,72
..,Punctuation,10.0,228
..!,Punctuation,10.0,6
..!!,Punctuation,5.0,1
..!!,Punctuation,10.0,3
..!!!,Punctuation,10.0,1
..(,Punctuation,1.0,1
..(,Punctuation,6.0,1
..(,Punctuation,10.0,1
..),Punctuation,10.0,1
"..,",Punctuation,6.0,1
..--,Punctuation,3.0,1
..-_,Punctuation,7.0,1
..-_-..,Punctuation,10.0,1
..-_-;;,Punctuation,1.0,2
...,Punctuation,1.0,115
...,Punctuation,2.0,20
...,Punctuation,3.0,36
...,Punctuation,4.0,51
...,Punctuation,5.0,60
...,Punctuation,6.0,95
...,Punctuation,7.0,82
...,Punctuation,8.0,49
...,Punctuation,9.0,44
...,Punctuation,10.0,183
...!,Punctuation,6.0,1
...!,Punctuation,8.0,1
...!!,Punctuation,7.0,1
...!!,Punctuation,10.0,1
...!!!,Punctuation,8.0,1
...!!!!,Punctuation,10.0,1
...--,Punctuation,10.0,1
...-_-,Punctuation,1.0,1
....,Punctuation,1.0,27
....,Punctuation,2.0,6
....,Punctuation,3.0,12
....,Punctuation,4.0,9
....,Punctuation,5.0,14
....,Punctuation,6.0,27
....,Punctuation,7.0,18
....,Punctuation,8.0,13
....,Punctuation,9.0,8
....,Punctuation,10.0,47
....!!!!!!!!!,Punctuation,10.0,1
....-_-,Punctuation,3.0,1
.....,Punctuation,1.0,10
.....,Punctuation,2.0,3
.....,Punctuation,3.0,1
.....,Punctuation,4.0,3
.....,Punctuation,5.0,6
.....,Punctuation,6.0,7
.....,Punctuation,7.0,5
.....,Punctuation,8.0,5
.....,Punctuation,9.0,3
.....,Punctuation,10.0,18
......,Punctuation,1.0,10
......,Punctuation,2.0,1
......,Punctuation,3.0,2
......,Punctuation,4.0,3
......,Punctuation,5.0,3
......,Punctuation,6.0,1
......,Punctuation,7.0,3
......,Punctuation,8.0,2
......,Punctuation,10.0,5
.......,Punctuation,6.0,3
.......,Punctuation,7.0,4
.......,Punctuation,8.0,2
.......,Punctuation,10.0,6
........,Punctuation,1.0,1
........,Punctuation,2.0,1
........,Punctuation,3.0,1
........,Punctuation,4.0,1
........,Punctuation,5.0,1
........,Punctuation,6.0,1
........,Punctuation,7.0,1
........,Punctuation,9.0,2
........,Punctuation,10.0,1
........-_-,Punctuation,5.0,1
.........,Punctuation,1.0,2
.........,Punctuation,6.0,1
.........,Punctuation,9.0,1
.........,Punctuation,10.0,2
..........,Punctuation,1.0,1
..........,Punctuation,5.0,1
..........,Punctuation,8.0,1
..........,Punctuation,9.0,1
...........,Punctuation,6.0,1
...........,Punctuation,8.0,1
...........,Punctuation,10.0,2
............,Punctuation,4.0,1
............,Punctuation,8.0,1
.............,Punctuation,7.0,1
.............,Punctuation,10.0,1
..............,Punctuation,1.0,2
..............,Punctuation,3.0,1
..............,Punctuation,6.0,1
..............,Punctuation,10.0,1
...............,Punctuation,1.0,1
...............,Punctuation,4.0,1
...............,Punctuation,6.0,1
...............,Punctuation,10.0,2
................,Punctuation,4.0,1
................,Punctuation,6.0,1
................,Punctuation,7.0,2
.................,Punctuation,1.0,1
.................,Punctuation,7.0,1
..................,Punctuation,1.0,1
..................,Punctuation,3.0,1
..................,Punctuation,4.0,1
..................,Punctuation,10.0,2
...................,Punctuation,6.0,1
.....................,Punctuation,1.0,1
.....................,Punctuation,10.0,1
......................,Punctuation,4.0,1
......................,Punctuation,8.0,1
...............................,Punctuation,1.0,1
...............................,Punctuation,6.0,2
......................................,Punctuation,1.0,1
........................................,Punctuation,1.0,1
.....?,Punctuation,4.0,1
.....?,Punctuation,10.0,1
.....^^,Punctuation,8.0,1
.....^^,Punctuation,10.0,1
....?!,Punctuation,9.0,1
....???,Punctuation,10.0,1
....^^,Punctuation,10.0,1
...;,Punctuation,7.0,1
...;;,Punctuation,3.0,1
...;;,Punctuation,4.0,1
...;;,Punctuation,6.0,1
...;;,Punctuation,8.0,1
...;;,Punctuation,10.0,1
...;;.,Punctuation,1.0,1
...;;;,Punctuation,7.0,2
...?,Punctuation,1.0,1
...?,Punctuation,6.0,1
...?,Punctuation,10.0,1
...??,Punctuation,10.0,1
...^^,Punctuation,7.0,1
...^^,Punctuation,10.0,3
...^~^,Punctuation,10.0,1
...~~,Punctuation,10.0,1
..//,Punctuation,4.0,1
..;,Punctuation,5.0,1
..;,Punctuation,10.0,1
..;;,Punctuation,5.0,1
..;;,Punctuation,7.0,2
..;;,Punctuation,8.0,1
..;;,Punctuation,9.0,2
..;;;;;,Punctuation,8.0,1
..?,Punctuation,3.0,1
..?,Punctuation,5.0,1
..?,Punctuation,6.0,1
..?,Punctuation,7.0,1
..?,Punctuation,10.0,1
..?-_-::,Punctuation,2.0,1
..^^,Punctuation,10.0,7
..^^;;,Punctuation,6.0,1
..^_^,Punctuation,6.0,1
.._+,Punctuation,9.0,1
..`~~,Punctuation,7.0,1
..~,Punctuation,8.0,1
./,Punctuation,6.0,1
.///,Punctuation,4.0,1
./?,Punctuation,2.0,1
.;;,Punctuation,5.0,1
.;;,Punctuation,10.0,1
.>,Punctuation,10.0,1
.\,Punctuation,2.0,1
".^,^",Punctuation,10.0,1
.^-^,Punctuation,10.0,1
.^^,Punctuation,9.0,1
.^^,Punctuation,10.0,4
.``,Punctuation,10.0,1
.~,Punctuation,6.0,1
.~,Punctuation,10.0,1
.~~,Punctuation,1.0,1
.~~,Punctuation,10.0,1
/,Punctuation,1.0,6
/,Punctuation,4.0,1
/,Punctuation,5.0,1
/,Punctuation,6.0,1
/,Punctuation,8.0,1
/,Punctuation,10.0,8
/.....,Punctuation,10.0,1
/./,Punctuation,8.0,1
//,Punctuation,6.0,1
//,Punctuation,8.0,2
//,Punctuation,9.0,1
//,Punctuation,10.0,2
//...,Punctuation,6.0,1
///,Punctuation,4.0,1
///,Punctuation,5.0,1
/////,Punctuation,1.0,1
0,Number,1.0,8
0,Number,10.0,3
0%,Number,1.0,1
0%,Number,8.0,1
0.2,Number,9.0,1
0.5,Number,1.0,2
0.5,Number,5.0,1
1,Number,1.0,17
1,Number,2.0,2
1,Number,3.0,2
1,Number,5.0,1
1,Number,6.0,1
1,Number,7.0,2
1,Number,9.0,4
1,Number,10.0,31
10,Number,1.0,13
10,Number,3.0,2
10,Number,4.0,2
10,Number,5.0,1
10,Number,6.0,3
10,Number,7.0,5
